Headline,Source,Posted,Description,Link
India strives to cut stubble burning to zero to curb pollution,Reuters,6 days ago,"India is committed to ending crop burning this year, the government said, after agriculture and...",https://www.reuters.com/world/india/india-strives-cut-stubble-burning-zero-curb-pollution-2023-08-04/
Russia's Luna-25 Flags Off Space Race With India's Chandrayaan-3 To Moon's South Pole,International Business Times,7 hours ago,Russia is gearing up to launch a lunar mission — the country's first lunar landing craft in nearly...,https://www.ibtimes.com/russias-luna-25-flags-off-space-race-indias-chandrayaan-3-moons-south-pole-3708169
India insurance regulator allows exemptions for holdings in merged HDFC Bank,Reuters,6 days ago,India's insurance regulator has allowed insurance companies to classify debt securities of HDFC Ltd...,https://www.reuters.com/world/india/india-insurance-regulator-allows-exemptions-holdings-merged-hdfc-bank-2023-08-04/
Abbott India posts 41% rise in Q1 profit on strong sales,Reuters,1 day ago,"Abbott India, the Indian arm of U.S. healthcare firm Abbott Laboratories, reported a 41% rise in its first-quarter profit on Wednesday, driven by strong sales in its mainstay pharmaceuticals segment.",https://www.reuters.com/article/abbott-india-results-idUSKBN2ZK11Q
India’s opposition leader Rahul Gandhi calls for army deployment to end ethnic violence in Manipur,WDTN-TV 2 Dayton,1 day ago,NEW DELHI (AP) — India’s top opposition leader unleashed a strong condemnation Wednesday of Prime...,https://www.wdtn.com/news/u-s-world/ap-international/ap-indias-opposition-leader-rahul-gandhi-calls-for-army-deployment-to-end-ethnic-violence-in-manipur/
India’s opposition leader Rahul Gandhi calls for army deployment to end ethnic violence in Manipur,WWTI Watertown,1 day ago,NEW DELHI (AP) — India’s top opposition leader unleashed a strong condemnation Wednesday of Prime...,https://www.informnny.com/news/world-news/ap-indias-opposition-leader-rahul-gandhi-calls-for-army-deployment-to-end-ethnic-violence-in-manipur/
Russia is to launch its first mission to the moon in almost 50 years,Dayton Daily News,39 minutes ago,LONDON (AP) — Russia is scheduled to launch its first mission to the moon in nearly 50 years on...,https://www.daytondailynews.com/nation-world/russia-is-to-launch-its-first-mission-to-the-moon-in-almost-50-years/QFX7CU7GDNFOPIUKYW5GGNLQJE/
"In India's brutal ethnic war, women are participants as well as victims",Reuters via Yahoo News,2 days ago,"MOIRANG/CHURACHANDPUR, India (Reuters) -In the sectarian violence that has ravaged India's Manipur...",https://news.yahoo.com/indias-brutal-ethnic-war-women-085458268.html?fr=sycsrp_catchall
"China walks line with Japan on group travel, Fukushima release",Nikkei Asian Review,1 hour ago,The return of the flow of people comes as both sides seek a meeting between Japanese Prime Minister Fumio Kishida and Chinese President Xi Jinping on the sidelines of the Group of 20 leaders ...,https://asia.nikkei.com/Politics/International-relations/China-walks-line-with-Japan-on-group-travel-Fukushima-release
India Opposition Leader,Galveston County Daily News,6 days ago,"FILE - India's opposition Congress party leader Rahul Gandhi waves to his supporters as he leaves the court, in Surat, India, Monday, April 3, 2023. ...",https://www.galvnews.com/news_ap/international/india-opposition-leader/image_c5444f6c-eec2-57ff-a1d5-f12f0e8de2bd.html
Cricket-India v Pakistan among nine World Cup matches rescheduled,WHTC 1450 Holland,1 day ago,(Reuters) - The blockbuster India v Pakistan clash is one of nine matches to be rescheduled for the 50-over World Cup later this year as the Internati...,https://whtc.com/2023/08/09/cricket-india-v-pakistan-among-nine-world-cup-matches-rescheduled/
India’s opposition targets Modi in their no-confidence motion over ethnic violence in Manipur state,Stars and Stripes,2 days ago,India's opposition accused Prime Minister Narendra Modi of choosing silence while a northeastern state governed by his party convulsed in ethnic violence as Parliament began ...,https://www.stripes.com/theaters/asia_pacific/2023-08-08/india-opposition-modi-no-confidence-manipur-violence-10986665.html
India’s opposition leader Rahul Gandhi calls for army deployment to end ethnic violence in Manipur,FOX21 Colorado Springs,1 day ago,NEW DELHI (AP) — India’s top opposition leader unleashed a strong condemnation Wednesday of Prime...,https://www.fox21news.com/news/international/ap-international/ap-indias-opposition-leader-rahul-gandhi-calls-for-army-deployment-to-end-ethnic-violence-in-manipur/
India’s opposition leader Rahul Gandhi calls for army deployment to end ethnic violence in Manipur,NBC 17 Raleigh,1 day ago,NEW DELHI (AP) — India’s top opposition leader unleashed a strong condemnation Wednesday of Prime...,https://www.cbs17.com/news/ap-indias-opposition-leader-rahul-gandhi-calls-for-army-deployment-to-end-ethnic-violence-in-manipur/
India’s opposition leader Rahul Gandhi calls for army deployment to end ethnic violence in Manipur,FOX 4 Kansas City,1 day ago,NEW DELHI (AP) — India’s top opposition leader unleashed a strong condemnation Wednesday of Prime...,https://fox4kc.com/news/international/ap-international/ap-indias-opposition-leader-rahul-gandhi-calls-for-army-deployment-to-end-ethnic-violence-in-manipur/
India’s opposition leader Rahul Gandhi calls for army deployment to end ethnic violence in Manipur,WTNH-TV New Haven,1 day ago,NEW DELHI (AP) — India’s top opposition leader unleashed a strong condemnation Wednesday of Prime...,https://www.wtnh.com/news/international/ap-indias-opposition-leader-rahul-gandhi-calls-for-army-deployment-to-end-ethnic-violence-in-manipur/
Disney to launch cheaper ad-supported service in UK,BBC via AOL,38 minutes ago,"It also said its Disney Hotstar service in India, which has been struggling since losing the right to show cricket matches, saw subscriptions plunge 24%,...",https://www.aol.com/disney-expand-ads-streaming-business-215609823.html
VIEW India's central bank holds key rate steady as expected,Reuters,11 hours ago,The Reserve Bank of India's key lending rate was held steady for a third straight policy meeting on...,https://www.reuters.com/world/india/view-indias-central-bank-holds-key-rate-steady-expected-2023-08-10/
India strives to cut stubble burning to zero to curb pollution,AOL,6 days ago,"India is committed to ending crop burning this year, the government said, after agriculture and...",https://www.aol.com/news/india-strives-cut-stubble-burning-093157692.html
Fans in India rejoice as superstar actor Rajinikanth's latest movie hits theaters,Associated Press via AOL,7 hours ago,Fans of an Indian movie star with a cult following thronged movie theaters and celebrated with...,https://www.aol.com/fans-india-rejoice-superstar-actor-091031047.html
India parliament debates no-confidence motion against PM Modi's government,BBC via AOL,2 days ago,Getty Images Mr Modi is expected to reply to the debate on Thursday India's parliament is debating a...,https://www.aol.com/india-parliament-debate-no-confidence-045857687.html
Krafton commits $150 million to India following BGMI trial approval,TechCrunch,16 hours ago,Thursday's announcement follows Krafton investing about $140 million in 11 Indian startups and the...,https://techcrunch.com/2023/08/09/krafton-commits-150-million-to-india-following-bgmi-trial-approval/
India Ethnic Clashes,The Sun Chronicle,4 days ago,"FILE- Indian Prime Minister Narendra Modi arrives on the opening day of the monsoon session of the Indian parliament in New Delhi, India, July 20, 2023. For three months, the",https://www.thesunchronicle.com/news/nation_world/india-ethnic-clashes/image_1610f592-3489-506b-b888-de0536fd1d8c.html
SELENA GOMEZ ANNOUNCES INAUGURAL RARE IMPACT FUND BENEFIT SUPPORTING YOUTH MENTAL HEALTH,14 WFIE Evansville,21 minutes ago,"Today, Selena Gomez announced that she will host the inaugural Rare Impact Fund Benefit. Funds raised at the first annual benefit will support The Rare Impact Fund's mission to reduce the stigma ...",http://www.14news.com/prnewswire/2023/08/10/selena-gomez-announces-inaugural-rare-impact-fund-benefit-supporting-youth-mental-health/
Fans in India rejoice as superstar actor Rajinikanth's latest movie hits theaters,Associated Press via Yahoo News,7 hours ago,Fans of an Indian movie star with a cult following thronged movie theaters and celebrated with...,https://news.yahoo.com/fans-india-rejoice-superstar-actor-091031330.html?fr=sycsrp_catchall
RBI Will Soon Use AI For Conversational Payments On UPI; Details Inside,Mashable,5 hours ago,"India's popular digital payment method, UPI, is getting even better with exciting new features....",https://in.mashable.com/tech/58070/rbi-will-soon-use-ai-for-conversational-payments-on-upi-details-inside
Abbott India posts 41% rise in Q1 profit on strong sales,WHTC 1450 Holland,1 day ago,"BENGALURU (Reuters) - Abbott India, the Indian arm of U.S. healthcare firm Abbott Laboratories, reported a 41% rise in its first-quarter profit on Wed...",https://whtc.com/2023/08/09/abbott-india-posts-41-rise-in-q1-profit-on-strong-sales/
"Suryakumar Yadav shows why he's No.1, Gill struggles: What we learnt as India defeat West Indies in...",Sporting News,2 days ago,India finally had a say in the ongoing T20I series against the West Indies. Windies posted 159 on...,https://www.sportingnews.com/in/cricket/news/suryakumar-yadav-no1-gill-struggles-india-defeat-west-indies-3rd-t20i/ajlcpuibpo0d646okrfhzrwi
Pope Francis Appoints Delegate to Resolve Syro-Malabar Liturgical Dispute in India,National Catholic Register,5 hours ago,Pope Francis has appointed Slovak Archbishop-Bishop Cyril Vasil’ to resolve a decades-long...,https://www.ncregister.com/cna/pope-francis-appoints-delegate-to-resolve-syro-malabar-liturgical-dispute-in-india
India’s opposition targets Modi in their no-confidence motion over ethnic violence in Manipur state,WDTN-TV 2 Dayton,2 days ago,NEW DELHI (AP) — India’s opposition accused Prime Minister Narendra Modi of choosing silence while a...,https://www.wdtn.com/news/u-s-world/ap-international/ap-indias-opposition-targets-modi-in-their-no-confidence-motion-over-ethnic-violence-in-manipur-state/
India’s opposition targets Modi in their no-confidence motion over ethnic violence in Manipur state,KOLR - KSFX Ozarks,2 days ago,NEW DELHI (AP) — India’s opposition accused Prime Minister Narendra Modi of choosing silence while a...,https://www.ozarksfirst.com/news/world-news/ap-indias-opposition-targets-modi-in-their-no-confidence-motion-over-ethnic-violence-in-manipur-state/
India’s opposition targets Modi in their no-confidence motion over ethnic violence in Manipur state,WTRF Wheeling,2 days ago,NEW DELHI (AP) — India’s opposition accused Prime Minister Narendra Modi of choosing silence while a...,https://www.wtrf.com/news/international/ap-indias-opposition-targets-modi-in-their-no-confidence-motion-over-ethnic-violence-in-manipur-state/
India’s opposition targets Modi in their no-confidence motion over ethnic violence in Manipur state,WSYR 9 Syracuse,2 days ago,NEW DELHI (AP) — India’s opposition accused Prime Minister Narendra Modi of choosing silence while a...,https://www.localsyr.com/news/international/ap-indias-opposition-targets-modi-in-their-no-confidence-motion-over-ethnic-violence-in-manipur-state/
When is India vs Pakistan hockey match at the Asian Games? | Sporting News India,Sporting News,23 hours ago,The Indian hockey team will represent the nation at the Hangzhou Asian Games. India will be hoping...,https://www.sportingnews.com/in/other-sports/news/when-india-vs-pakistan-hockey-match-asian-games/upup5nhocbyhowuitoc9ecqh
India’s top court temporarily halts conviction of opposition leader for mocking Modi’s surname,The Fresno Bee,6 days ago,India’s top court on Friday temporarily halted the criminal defamation conviction of opposition leader Rahul Gandhi for mocking the prime minister’s surname. A fierce critic ...,https://www.fresnobee.com/news/nation-world/world/article277951903.html
India’s top court temporarily halts conviction of opposition leader for mocking Modi’s surname,Belleville News-Democrat,6 days ago,India’s top court on Friday temporarily halted the criminal defamation conviction of opposition leader Rahul Gandhi for mocking the prime minister’s surname. A fierce critic ...,https://www.bnd.com/news/nation-world/world/article277951903.html
India’s top court temporarily halts conviction of opposition leader for mocking Modi’s surname,Island Packet,6 days ago,India’s top court on Friday temporarily halted the criminal defamation conviction of opposition leader Rahul Gandhi for mocking the prime minister’s surname. A fierce critic ...,https://www.islandpacket.com/news/nation-world/world/article277951903.html
India’s top court temporarily halts conviction of opposition leader for mocking Modi’s surname,The Biloxi Sun Herald,6 days ago,India’s top court on Friday temporarily halted the criminal defamation conviction of opposition leader Rahul Gandhi for mocking the prime minister’s surname. A fierce critic ...,https://www.sunherald.com/news/nation-world/world/article277951903.html
India’s top court temporarily halts conviction of opposition leader for mocking Modi’s surname,The Rock Hill Herald,6 days ago,India’s top court on Friday temporarily halted the criminal defamation conviction of opposition leader Rahul Gandhi for mocking the prime minister’s surname. A fierce critic ...,https://www.heraldonline.com/news/nation-world/world/article277951903.html
Why are India and West Indies playing T20Is in USA? Why is Florida hosting two matches of the...,Sporting News,17 hours ago,"After two humbling defeats in the five-match T20I series, India came back strongly to beat the hosts...",https://www.sportingnews.com/in/cricket/news/why-are-india-and-west-indies-playing-t20is-usa-florida/gxw2lvhmexb1sdxhziyfhljl
India Opposition Leader,The Argus-Press,6 days ago,Congress party workers distribute sweets as they celebrate the Supreme Court of India's verdict in a 2019 defamation case against party leader Rahul...,https://www.argus-press.com/news/international/image_3c11297f-3b24-59b8-ac14-8cbf49f4b69c.html
India’s Chandrayaan-3 enters lunar orbit in step closer to moon rover soft landing,WKBT La Crosse,3 days ago,“The retrofiring of engines brought it closer to the Moon’s surface.” The craft is expected to land...,https://www.news8000.com/news/national-world/india-s-chandrayaan-3-enters-lunar-orbit-in-step-closer-to-moon-rover-soft-landing/article_79642a88-81a8-55ea-a13a-b86f820f51d2.html
"Disney's India Streaming Arm Is Bleeding Subscribers By Millions, The Culprit: Billionaire Mukesh...",Benzinga,11 hours ago,"This story was first published on the Benzinga India portal. The Walt Disney Company DIS owned Disney+ Hotstar, once the crown jewel of India’s streaming ...",https://www.benzinga.com/news/23/08/33692701/disneys-india-streaming-arm-is-bleeding-subscribers-by-millions-the-culprit-billionaire-mukesh-amban
India’s opposition targets Modi in their no-confidence motion over ethnic violence in Manipur state,WATE 6 Knoxville,2 days ago,NEW DELHI (AP) — India’s opposition accused Prime Minister Narendra Modi of choosing silence while a...,https://www.wate.com/news/national/ap-international/ap-indias-opposition-targets-modi-in-their-no-confidence-motion-over-ethnic-violence-in-manipur-state/
India’s opposition targets Modi in their no-confidence motion over ethnic violence in Manipur state,CW39 NewsFix,2 days ago,NEW DELHI (AP) — India’s opposition accused Prime Minister Narendra Modi of choosing silence while a...,https://cw39.com/international/ap-international/ap-indias-opposition-targets-modi-in-their-no-confidence-motion-over-ethnic-violence-in-manipur-state/
India’s top court stays conviction of opposition leader for mocking the prime minister’s surname,Bradenton Herald,6 days ago,India’s top court on Friday stayed the criminal defamation conviction of opposition leader Rahul Gandhi for mocking the prime minister’s surname. A fierce critic of Prime ...,https://www.bradenton.com/news/nation-world/world/article277951903.html
India’s top court stays conviction of opposition leader for mocking the prime minister’s surname,Tri-City Herald,6 days ago,India’s top court on Friday stayed the criminal defamation conviction of opposition leader Rahul Gandhi for mocking the prime minister’s surname. A fierce critic of Prime ...,https://www.tri-cityherald.com/news/nation-world/world/article277951903.html
Ukraine-Russia war – live: Putin ‘considers coming face to face with world leaders’ at G20 summit,The Independent US via AOL,1 hour ago,"Russian president Vladimir Putin is considering attending the G20 summit in person, a Kremlin source...",https://www.aol.com/ukraine-russia-war-live-kyiv-062520989.html
India’s top court appoints all-women committee to monitor situation in violence-torn Manipur,The Independent UK via AOL,3 days ago,India’s Supreme Court appointed a committee of three retired women judges on Monday to look into...,https://www.aol.com/india-top-court-appoints-women-120022484.html
Who has taken the most wickets for India in T20Is? | Sporting News India,Sporting News,3 days ago,"Ever since India's first T20 international match in December 2006, a total of 77 players have bowled...",https://www.sportingnews.com/in/cricket/news/who-has-taken-most-wickets-india-t20is/rctxmf2gxeayowvzjehfeois
"The vivo V29e is coming soon, teaser calls it a design masterpiece",GSMArena.com,2 hours ago,One of the phone’s key selling points will be its design – the teaser page that went up on vivo.com...,https://www.gsmarena.com/the_vivo_v29e_is_coming_soon_teaser_calls_it_a_design_masterpiece-news-59506.php
"India delays import restriction on laptops, tablets by 3 months",Reuters via Yahoo Finance,6 days ago,NEW DELHI (Reuters) -India will provide a transition period of about three months before a new...,https://finance.yahoo.com/news/india-seeks-boost-manufacturing-laptop-083945681.html?fr=sycsrp_catchall
India seeks to boost manufacturing with laptop licensing move,WSAU Wausau,6 days ago,"NEW DELHI (Reuters) - India's decision to impose a licensing requirement for imports of laptops, tablets and personal computers will boost domestic ma...",https://wsau.com/2023/08/04/india-seeks-to-boost-manufacturing-with-laptop-licensing-move/
India's top court temporarily halts conviction of opposition leader for mocking Modi's surname,Associated Press via Yahoo News,6 days ago,India’s top court on Friday temporarily halted the criminal defamation conviction of opposition...,https://news.yahoo.com/india-top-court-stays-conviction-083507642.html?fr=sycsrp_catchall
India's top court temporarily halts conviction of opposition leader for mocking Modi's surname,Associated Press via AOL,6 days ago,India’s top court on Friday temporarily halted the criminal defamation conviction of opposition...,https://www.aol.com/india-top-court-stays-conviction-083507735.html
India Ethnic Clashes,Yakima Herald-Republic,4 days ago,"FILE- Armed tribal Kuki community members patrol near a de facto front-line dissecting the area into two ethnic zones in Churachandpur, in Manipur, India...",https://www.yakimaherald.com/news/nation_and_world/world/india-ethnic-clashes/image_716525bc-d2ff-5c18-bc19-7ca91599635f.html
India’s top court stays the conviction of opposition leader Rahul Gandhi for mocking Prime Minister...,ABC News,6 days ago,India’s top court stays the conviction of opposition leader Rahul Gandhi for mocking Prime Minister Modi’s surname,https://abcnews.go.com/International/wireStory/indias-top-court-stays-conviction-opposition-leader-rahul-102010389
India’s top court stays the conviction of opposition leader Rahul Gandhi for mocking Prime Minister...,ABC News,6 days ago,India’s top court stays the conviction of opposition leader Rahul Gandhi for mocking Prime Minister Modi’s surname,https://abcnews.go.com/US/wireStory/indias-top-court-stays-conviction-opposition-leader-rahul-102010387
"CapitaLand launches new India fund, sees $520 million addition to total FUM",Reuters via Yahoo Finance,18 hours ago,The real estate investment manager said its new CapitaLand India Growth Fund 2 would have a target...,https://finance.yahoo.com/news/capitaland-launches-india-fund-sees-220950268.html?fr=sycsrp_catchall
India's July retail vehicle sales up; dealers' body flags rising inventory,Reuters,3 days ago,"Retail sales of vehicles in India rose in July, a dealers' body said on Monday but cautioned of...",https://www.reuters.com/business/autos-transportation/indias-july-retail-vehicle-sales-up-dealers-body-flags-rising-inventory-2023-08-07/
'Burned down to ashes': Why devastated Lahaina Town is such a cherished place on Maui,USA TODAY via Yahoo News,51 minutes ago,Lahaina Banyan Court Park is home to the famous banyan fig tree planted in 1873 after being imported...,https://news.yahoo.com/burned-down-ashes-why-devastated-153031235.html?fr=sycsrp_catchall
"India's Adani Ports says Q1 profit nearly doubles on higher volumes, tariffs",Reuters,2 days ago,"Adani Ports and Special Economic Zone (APSE.NS), India's largest private port operator, reported an...",https://www.reuters.com/world/india/indias-adani-ports-says-q1-profit-nearly-doubles-higher-volumes-tariffs-2023-08-08/
Bata India posts first profit drop in two years on sluggish demand,Reuters,1 day ago,"Footwear maker Bata India (BATA.NS) reported its first drop in profit in eight quarters on Wednesday, as soft demand dragged its revenue growth to a nine-quarter low. The ...",https://www.reuters.com/business/retail-consumer/bata-india-posts-first-profit-drop-two-years-sluggish-demand-2023-08-09/
India's parliament reinstates Rahul Gandhi as lawmaker,Reuters via AOL,3 days ago,NEW DELHI (Reuters) -India's parliament on Monday reinstated opposition Congress party leader Rahul...,https://www.aol.com/indias-parliament-reinstates-rahul-gandhi-050219838.html
India Hiroshima Anniversary,Goshen News,4 days ago,"Activists of West Bengal Science Forum mark the 78th anniversary of atomic bombing of Hiroshima during the World War II in Kolkata, India, Sunday, Aug....",https://www.goshennews.com/news/national_news/india-hiroshima-anniversary/image_28631def-68dc-5766-bf24-98a14f44d434.html
Turkcell Cloud: Bringing sovereign cloud to Turkey’s regulated industries,CIO,28 minutes ago,The largest cloud services and data center services provider in Turkey backed up its significant...,https://www.cio.com/article/649215/turkcell-cloud-bringing-sovereign-cloud-to-turkeys-regulated-industries.html
"India smartphone market dips 6% in Q2, 5G grows 45%: Report",Investing.com,6 days ago,"India smartphone market dips 6% in Q2, 5G grows 45%: Report",https://in.investing.com/news/india-smartphone-market-dips-6-in-q2-5g-grows-45-report-3756323
India passes data protection law amid surveillance concerns,Reuters,1 day ago,Indian lawmakers on Wednesday passed a data protection law that will dictate how tech companies...,https://www.reuters.com/technology/india-passes-data-protection-law-amid-surveillance-concerns-2023-08-09/
India passes data protection law amid surveillance concerns,WHTC 1450 Holland,1 day ago,NEW DELHI (Reuters) - Indian lawmakers on Wednesday passed a data protection law that will dictate how tech companies process users' data amid critici...,https://whtc.com/2023/08/09/india-passes-data-protection-law-amid-surveillance-concerns/
India passes data protection law amid surveillance concerns,WSAU Wausau,1 day ago,NEW DELHI (Reuters) - Indian lawmakers on Wednesday passed a data protection law that will dictate how tech companies process users' data amid critici...,https://wsau.com/2023/08/09/india-passes-data-protection-law-amid-surveillance-concerns/
India Ethnic Clashes,Anacortes American,4 days ago,"FILE- An activist of India's opposition Congress party protesting against ethnic violence in northeastern Manipur state is detained by police in Mumbai, ...",https://www.goskagit.com/news/world/india-ethnic-clashes/image_e36f22d2-b243-525a-91c9-46042b902387.html
India Daily Life,Goshen News,4 days ago,"A man sits inside a rental hiking equipment shop that provides guides for local treks in Dharamshala, India, Sunday, Aug. 6, 2023. (AP Photo/Ashwini...",https://www.goshennews.com/news/national_news/india-daily-life/image_09ecd060-75f9-5d13-8eeb-ab765403cbc9.html
India passes data protection law amid surveillance concerns,Reuters,1 day ago,Indian lawmakers on Wednesday passed a data protection law that will dictate how tech companies process users’ data amid criticism that it will likely lead to increased surveillance by the government ...,https://www.reuters.com/article/india-data-protection-idUSL4N39Q1NU
India Day Returns to Corning on August 12,WENY-TV,7 days ago,"The Southern Tier India Cultural Association will host its 2023 India Day on August 12th, which is a celebration of Indian traditions and culture. The...",https://www.weny.com/clip/15412163/india-day-returns-to-corning-on-august-12
WeWork's bankruptcy warning to not impact India unit,Reuters,24 hours ago,"WeWork's (WE.N) warning of a bankruptcy risk would not have an impact on its India unit, regional CEO Karan Virwani said on Wednesday. New York-based WeWork, which was valued ...",https://www.reuters.com/business/weworks-bankruptcy-warning-not-impact-india-unit-2023-08-09/
India’s top court stays conviction of opposition leader for mocking the prime minister's surname,Dayton Daily News,6 days ago,India’s top court on Friday stayed the criminal defamation conviction of opposition leader Rahul Gandhi for mocking Prime Minister Narendra Modi’s surname — a conviction that ...,https://www.daytondailynews.com/nation-world/indias-top-court-stays-conviction-of-opposition-leader-for-mocking-the-prime-ministers-surname/DIYKRUSPMNERHASJV2E3WLRERE/
10 Most Exciting Upcoming Bollywood Movies,Screen Rant,3 hours ago,"Bollywood is the India's movie industry, located out of Mumbai. The term is a play on words, combining America's Hollywood with Bombay, another name for ...",https://screenrant.com/most-exciting-upcoming-bollywood-movies/
India's top court temporarily halts conviction of opposition leader for mocking Modi's surname,Las Vegas Sun,6 days ago,India’s top court on Friday temporarily halted the criminal defamation conviction of opposition leader Rahul Gandhi for mocking the prime minister’s surname. A fierce critic ...,https://lasvegassun.com/news/2023/aug/04/indias-top-court-temporarily-halts-conviction-of-o/
India strives to cut stubble burning to zero to curb pollution,KFGO,6 days ago,"NEW DELHI (Reuters) - India is committed to ending crop burning this year, the government said,...",https://kfgo.com/2023/08/04/india-strives-to-cut-stubble-burning-to-zero-to-curb-pollution/
"India's Chandrayaan-3 Spacecraft Reaches Lunar Orbit, Aims for Historic Landing",ExtremeTech,2 days ago,"Decades after the first lunar landings, there are still only three countries that have soft-landed spacecraft on the moon: the US, Russia, and China. India hopes to be the ...",https://www.extremetech.com/science/indias-chandrayaan-3-spacecraft-reaches-lunar-orbit-aims-for-historic-landing
Fans Set The Stage For The Intense India-Pakistan Clash As They Sing Vande Mataram In Viral Video;...,Mashable,10 hours ago,"In a spectacular showcase of skill and national pride, the Mayor Radhakrishnan Hockey Stadium in...",https://in.mashable.com/culture/58030/fans-set-the-stage-for-the-intense-india-pakistan-clash-as-they-sing-vande-mataram-in-viral-video-wa
India Military Recruitment,Goshen News,6 days ago,A member of the motorcycle display team Tornadoes performs during the graduation ceremony of the first batch of soldiers recruited by Indian Army under...,https://www.goshennews.com/news/national_news/india-military-recruitment/image_240dd1d8-9d7e-50a1-b643-690f15245c05.html
India Military Recruitment,Goshen News,6 days ago,"Soldiers recruited by Indian Army under the Agniveer scheme take a selfie after their graduation ceremony in Bengaluru, India, Friday, Aug. 4, 2023....",https://www.goshennews.com/news/national_news/india-military-recruitment/image_bf5f87b2-5231-57f7-b3b5-35ebcd65fb64.html
India Military Recruitment,The Argus-Press,6 days ago,"The first batch of soldiers recruited by Indian Army under the Agniveer scheme march during their graduation parade in Bengaluru, India, Friday, Aug. 4, 2023. Agniveer, a new short-term job",https://www.argus-press.com/news/international/image_cd0f291d-3631-5696-ba59-3afcf497a2ff.html
India’s Modi faces a no-confidence vote over silence on ethnic violence tearing at remote Manipur,The Washington Times,4 days ago,His social media accounts suggest that Prime Minister Narendra Modi is launching high-speed trains and rubbing shoulders with foreign leaders as a powerhouse on the global stage and the face ...,https://www.washingtontimes.com/news/2023/aug/7/indias-modi-faces-no-confidence-vote-over-silence-/
'Held back pacers because Pooran didn't come out' - Hardik Pandya on using spin in the first ten...,Sporting News,2 days ago,"India managed to hit back in the third T20I on their tour of the West Indies on Tuesday, bringing...",https://www.sportingnews.com/in/cricket/news/good-have-someone-sky-team-captain-hardik-pandya-hails-suryakumar-yadavs-contribution-indias-win/vwk3ikn5caqofbnxzwjttkca
"Self Discharge Analyzer Market 2023 With Top Countries Data: Industry Trends, Share, Size, Top Key...",Digital Journal,39 minutes ago,Self Discharge Analyzer Analysis of Market 2023 is a comprehensive study accumulated to provide the latest information on acute market features. The report contains different market predictions ...,https://www.digitaljournal.com/pr/news/xherald/self-discharge-analyzer-market-2023-with-top-countries-data-industry-trends-share-size-top-key-players-analysis-and-forecast-research-keysight-cadex-electronics-st-instruments
Global DTC Genetic Testing Market is projected to reach the value of $3 billion by 2030,Digital Journal,39 minutes ago,"According to the latest report by Virtue Market Research, in 2022, the Global DTC Genetic Testing Market was valued at $0.98 billion, and is projected to reach a market size of $3 billion by ...",https://www.digitaljournal.com/pr/news/xherald/global-dtc-genetic-testing-market-is-projected-to-reach-the-value-of-3-billion-by-2030
India religious violence threatens Modi’s image before G-20,The San Luis Obispo Tribune,5 days ago,"As Prime Minister Narendra Modi prepares to welcome Group of 20 leaders next month, some of the worst religious violence in years threatens to taint his efforts to showcase India< ...",https://www.sanluisobispo.com/news/nation-world/world/article277984168.html
India religious violence threatens Modi’s image before G-20,Island Packet,5 days ago,"As Prime Minister Narendra Modi prepares to welcome Group of 20 leaders next month, some of the worst religious violence in years threatens to taint his efforts to showcase India< ...",https://www.islandpacket.com/news/nation-world/world/article277984168.html
India religious violence threatens Modi’s image before G-20,Tri-City Herald,5 days ago,"As Prime Minister Narendra Modi prepares to welcome Group of 20 leaders next month, some of the worst religious violence in years threatens to taint his efforts to showcase India< ...",https://www.tri-cityherald.com/news/nation-world/world/article277984168.html
"India’s top court stays Rahul Gandhi conviction, paving way for lawmaker return ahead of elections",CNN via AOL,6 days ago,"India’s top court on Friday stayed Rahul Gandhi’s defamation conviction, offering a crucial reprieve...",https://www.aol.com/india-top-court-stays-rahul-085416752.html
"JPMorgan (JPM) Strengthens India Presence, Opens Two Offices",Zacks via Yahoo Finance,2 days ago,"As part of its efforts to strengthen its presence in India, JPMorgan JPM announced the opening of...",https://finance.yahoo.com/news/jpmorgan-jpm-strengthens-india-presence-152700335.html?fr=sycsrp_catchall
India’s top court temporarily halts conviction of opposition leader for mocking Modi’s surname,Merced Sun-Star,6 days ago,India’s top court on Friday temporarily halted the criminal defamation conviction of opposition leader Rahul Gandhi for mocking the prime minister’s surname. A fierce critic ...,https://www.mercedsunstar.com/news/nation-world/world/article277951903.html
India’s top court temporarily halts conviction of opposition leader for mocking Modi’s surname,Columbus Ledger-Enquirer,6 days ago,India’s top court on Friday temporarily halted the criminal defamation conviction of opposition leader Rahul Gandhi for mocking the prime minister’s surname. A fierce critic ...,https://www.ledger-enquirer.com/news/nation-world/world/article277951903.html
India’s top court temporarily halts conviction of opposition leader for mocking Modi’s surname,Centre Daily Times,6 days ago,India’s top court on Friday temporarily halted the criminal defamation conviction of opposition leader Rahul Gandhi for mocking the prime minister’s surname. A fierce critic ...,https://www.centredaily.com/news/nation-world/world/article277951903.html
India’s top court temporarily halts conviction of opposition leader for mocking Modi’s surname,The Wichita Eagle,6 days ago,India’s top court on Friday temporarily halted the criminal defamation conviction of opposition leader Rahul Gandhi for mocking the prime minister’s surname. A fierce critic ...,https://www.kansas.com/news/nation-world/world/article277951903.html
Consider India If You're Looking at Emerging Markets,ETF Trends,1 day ago,"Emerging markets (EM) can offer traders a comeback story play, but one country in particular could be suitable for opportunities in both the short term and the long term: India</ ...",https://www.etftrends.com/leveraged-inverse-channel/consider-india-if-your-looking-at-emerging-markets/
